PassengerId,Sex,Age,Class,SeatRow,SeatZone,NearExit,SeatPos,AisleSeat,Fare,Gate,Luggage,WithChildren,Survived,SurvivalProb_true
1,male,37.5,2,7,Front,0,Window,0,269.92,A,2,0,1,0.526
2,male,42.3,3,20,Middle,1,Aisle,1,102.79,A,2,0,1,0.469
3,female,20.8,1,16,Middle,0,Window,0,358.38,C,1,0,1,0.801
4,female,37.6,1,18,Middle,0,Aisle,1,453.03,A,0,1,1,0.8
5,male,46.7,1,2,Front,1,Aisle,1,477.17,B,1,0,1,0.785
6,male,50.3,3,17,Middle,0,Window,0,98.85,A,2,0,1,0.471
7,male,36.8,3,26,Rear,0,Window,0,131.44,A,1,1,0,0.307
8,female,58.8,3,23,Rear,0,Aisle,1,115.09,A,2,0,1,0.428
9,male,54.1,3,7,Front,0,Aisle,1,107.89,C,1,0,1,0.577
10,female,25.2,2,28,Rear,0,Window,0,284.67,A,2,0,1,0.63
11,male,0.0,2,25,Rear,0,Aisle,1,169.4,A,1,1,0,0.587
12,female,18.5,3,8,Front,0,Aisle,1,109.28,C,0,0,1,0.715
13,male,36.0,3,19,Middle,0,Aisle,1,115.66,B,1,0,1,0.439
14,male,37.4,3,16,Middle,0,Window,0,80.16,B,1,0,1,0.463
15,male,30.6,1,12,Middle,0,Window,0,280.15,B,1,0,1,0.661
16,male,28.7,3,14,Middle,0,Window,0,136.14,A,0,0,0,0.313
17,male,44.7,2,10,Front,1,Window,0,242.89,B,2,0,0,0.443
18,male,26.2,1,27,Rear,0,Middle,0,411.18,A,2,0,0,0.476
19,female,3.1,2,21,Rear,1,Aisle,1,169.08,A,1,1,1,0.91
20,female,30.3,3,12,Middle,0,Middle,0,125.46,B,1,0,0,0.474
21,male,50.3,2,7,Front,0,Window,0,228.0,A,0,0,1,0.481
22,female,22.2,2,25,Rear,0,Aisle,1,276.09,A,2,0,0,0.65
23,female,44.6,1,22,Rear,0,Middle,0,327.9,A,2,0,1,0.798
24,male,43.6,2,28,Rear,0,Window,0,244.05,A,1,0,1,0.425
25,male,34.8,3,7,Front,0,Aisle,1,135.95,B,0,0,1,0.564
26,male,41.1,2,21,Rear,1,Aisle,1,201.55,B,1,0,1,0.599
27,male,21.2,2,8,Front,0,Middle,0,151.95,A,2,0,0,0.36
28,male,35.9,2,27,Rear,0,Middle,0,167.76,A,1,0,0,0.516
29,male,57.5,2,30,Rear,1,Window,0,182.67,A,0,0,0,0.6
30,male,33.9,2,24,Rear,0,Aisle,1,222.76,A,2,0,0,0.327
31,female,18.5,2,3,Front,0,Middle,0,199.56,A,0,0,1,0.782
32,female,57.0,2,23,Rear,0,Window,0,255.04,B,1,0,1,0.67
33,male,14.6,2,15,Middle,0,Aisle,1,228.12,C,1,1,0,0.607
34,male,59.8,3,5,Front,0,Window,0,154.28,B,2,0,0,0.381
35,female,36.4,1,4,Front,0,Window,0,361.22,A,1,1,1,0.746
36,male,44.3,3,4,Front,0,Middle,0,104.53,A,2,0,1,0.51
37,female,40.3,3,4,Front,0,Window,0,79.25,C,0,0,0,0.7
38,male,35.3,3,7,Front,0,Aisle,1,94.52,C,1,0,0,0.508
39,male,51.2,3,18,Middle,0,Aisle,1,127.5,C,1,0,0,0.42
40,male,33.8,1,14,Middle,0,Aisle,1,291.78,B,0,1,1,0.817
41,male,22.7,3,7,Front,0,Aisle,1,106.53,A,2,0,1,0.339
42,male,35.7,2,13,Middle,0,Aisle,1,283.55,A,1,0,0,0.501
43,male,8.8,3,21,Rear,1,Aisle,1,63.27,B,0,1,1,0.762
44,male,32.9,2,5,Front,0,Window,0,212.55,B,0,0,0,0.322
45,male,8.4,2,4,Front,0,Window,0,295.81,A,1,0,1,0.681
46,male,35.4,2,17,Middle,0,Window,0,182.02,A,0,0,0,0.614
47,male,45.9,2,8,Front,0,Window,0,247.03,C,1,0,0,0.383
48,male,44.7,1,17,Middle,0,Aisle,1,420.34,C,2,0,0,0.519
49,female,32.9,1,12,Middle,0,Window,0,429.78,C,2,1,1,0.798
50,male,0.0,3,4,Front,0,Middle,0,90.77,A,1,1,1,0.626
