PassengerId,Sex,Age,Class,SeatRow,SeatZone,NearExit,SeatPos,AisleSeat,Fare,Gate,Luggage,WithChildren,Survived,SurvivalProb_true
1,male,51.9,3,11,Middle,1,Aisle,1,75.09,A,1,0,1,0.577
2,male,33.0,1,18,Middle,0,Window,0,352.2,B,1,0,1,0.615
3,male,25.6,2,4,Front,0,Aisle,1,227.03,A,1,0,1,0.462
4,male,54.9,3,28,Rear,0,Window,0,102.8,A,0,0,0,0.388
5,male,41.8,2,23,Rear,0,Middle,0,216.21,A,2,0,1,0.423
6,male,23.5,3,25,Rear,0,Window,0,107.06,A,1,0,0,0.402
7,male,47.8,2,3,Front,0,Window,0,253.16,C,1,0,0,0.396
8,male,43.0,2,3,Front,0,Aisle,1,207.06,B,1,0,0,0.452
9,male,40.9,2,6,Front,0,Aisle,1,265.58,A,1,0,1,0.619
10,male,22.1,2,10,Front,1,Aisle,1,180.06,B,1,0,1,0.725
11,male,26.0,1,21,Rear,1,Middle,0,412.78,C,2,0,1,0.65
12,female,30.7,3,11,Middle,1,Aisle,1,124.0,B,2,0,1,0.796
13,female,55.2,3,5,Front,0,Window,0,119.96,B,1,0,1,0.479
14,male,2.5,1,5,Front,0,Aisle,1,299.59,A,0,0,1,0.839
15,male,46.3,1,7,Front,0,Window,0,426.32,C,1,0,1,0.623
16,male,46.0,2,8,Front,0,Aisle,1,265.1,C,0,0,1,0.764
17,male,61.1,3,26,Rear,0,Window,0,151.55,A,3,0,0,0.173
18,male,30.8,2,1,Front,1,Aisle,1,187.13,C,0,0,1,0.746
19,male,23.3,3,21,Rear,1,Window,0,135.75,A,1,1,0,0.503
20,male,17.5,2,23,Rear,0,Window,0,221.58,A,2,0,0,0.313
21,male,29.9,3,1,Front,1,Window,0,90.47,B,2,0,0,0.337
22,female,48.2,2,17,Middle,0,Window,0,150.27,B,0,0,1,0.767
23,male,16.0,3,29,Rear,1,Aisle,1,145.47,B,1,1,1,0.716
24,male,45.7,3,22,Rear,0,Aisle,1,119.64,C,0,0,1,0.37
25,male,37.2,3,15,Middle,0,Middle,0,74.77,A,3,1,0,0.335
26,female,52.5,1,17,Middle,0,Aisle,1,423.62,B,1,0,1,0.899
27,female,39.5,1,8,Front,0,Window,0,316.49,B,0,0,1,0.874
28,male,39.1,3,9,Front,0,Window,0,157.41,C,2,0,0,0.374
29,male,27.2,2,24,Rear,0,Aisle,1,154.57,A,2,0,1,0.309
30,female,26.6,3,9,Front,0,Aisle,1,77.34,A,1,0,1,0.662
31,female,34.6,1,30,Rear,1,Window,0,341.3,A,1,1,1,0.862
32,male,22.6,1,11,Middle,1,Window,0,465.06,A,2,0,1,0.666
33,female,52.1,3,1,Front,1,Window,0,85.84,A,1,0,1,0.791
34,female,29.9,2,27,Rear,0,Aisle,1,297.95,A,2,1,0,0.585
35,male,32.2,2,16,Middle,0,Window,0,175.48,C,1,0,0,0.514
36,male,33.9,2,15,Middle,0,Aisle,1,221.92,A,1,0,0,0.512
37,male,60.6,2,13,Middle,0,Aisle,1,170.03,B,2,0,0,0.276
38,female,51.7,3,5,Front,0,Window,0,125.54,B,1,0,0,0.629
39,male,64.2,2,29,Rear,1,Aisle,1,233.0,C,2,0,1,0.548
40,female,35.4,3,10,Front,1,Aisle,1,148.11,C,0,0,1,0.857
41,male,35.8,2,1,Front,1,Window,0,230.85,B,0,0,1,0.594
42,female,48.2,2,28,Rear,0,Aisle,1,152.57,A,1,0,1,0.775
43,male,35.5,3,4,Front,0,Aisle,1,76.07,B,2,0,1,0.403
44,male,58.1,2,14,Middle,0,Aisle,1,239.04,A,0,0,0,0.455
45,female,39.9,3,12,Middle,0,Aisle,1,120.94,B,3,1,0,0.658
46,male,23.6,3,30,Rear,1,Window,0,129.12,A,2,0,0,0.419
47,female,24.5,3,30,Rear,1,Aisle,1,101.54,B,0,0,1,0.778
48,male,9.5,1,16,Middle,0,Window,0,484.43,A,1,0,1,0.724
49,female,20.9,2,5,Front,0,Window,0,210.56,C,1,0,1,0.745
50,male,37.6,3,29,Rear,1,Window,0,137.78,C,1,1,1,0.536
